#h2-type-name	aligned-type-name
bool	boolean
int2	integer
int4	integer
int8	integer
integer	integer
varchar	string
text	string
float	float
text	string
bpchar	string
float4	string
float8	string
float	string
date	dateTime
foat	timestamp
geography	geography
geometry	geometry
